TARGETID,Z_1,TARGET_RA_1,TARGET_DEC_1,SURVEY
2349798766149633,1.391390671294241,62.2479,-5.9979,main
2349800494202881,0.48285015452381463,165.4749,-6.042000000000002,main
2349803811897345,1.386208517565101,4.2152,-5.8179,main
2349804109692929,0.7344111615926453,21.8513,-5.7558,main
2349804239716353,1.163272094851008,29.8059,-5.7222,main
2349804344573952,0.5971152109671497,35.9184975,-5.845307599999999,main
2349804344573953,0.7734874911207676,35.9178,-5.8451,main
2349804344573955,0.4479048342638216,36.0657,-5.8027,main
2349804403294209,0.6009882470468554,39.5739,-5.765,main
2349804415877121,0.10591724714646743,40.2212,-5.8474,main
2349804654952449,1.1239031891160143,54.62766600000001,-5.671094,main
2349807154757633,0.8914747499370891,204.1661,-5.7821,main
2349810006884353,0.5897161345295494,14.9579,-5.584,main
2349810040438785,0.526467324140909,16.9195,-5.392,main
2349810082381825,0.5131314983831518,19.4954,-5.4545,main
2349810086576128,0.5865114083692732,19.6608,-5.4444,main
2349810086576129,0.7148708889102325,19.6599,-5.4449,main
2349810317262849,0.1875489418184031,33.5328,-5.5909,main
2349810355011585,1.4790012432353465,35.7821,-5.4667,main
2349810359205889,0.7735598685660158,36.1456,-5.4993,main
2349810363400193,0.7426600870634283,36.2548,-5.6066,main
2349812145979393,0.4661353894111336,143.0572,-5.6045,main
2349812292780033,0.7168970122818812,151.8451,-5.3859,main
2349812305362945,1.4288711143895192,152.3895,-5.6017,main
2349812389249025,0.767290852826286,157.4833497,-5.42181194,main
2349816101208064,0.7993679938346777,19.7885575,-5.2189541,main
2349816101208065,0.7999359763206925,19.7883,-5.2191,main
2349816260591617,1.3397412297375497,29.3182,-5.2531,main
2349816264785921,0.6112721290644656,29.3675,-5.2772,main
2349816344477696,0.6479690209238342,34.3280949,-5.1330532,main
2349816344477697,0.5959564715341554,34.3278684,-5.1317885,main
2349816348672001,0.6465017832001906,34.4052,-5.2249,main
2349816378032128,0.9026314930802987,36.1151313,-5.2253928,main
2349816378032129,0.904270961942065,36.1148,-5.2249,main
2349816382226433,0.2974475204782558,36.409,-5.2474,main
2349816382226435,0.3781578977551805,36.4263,-5.1536,main
2349816386420737,0.14377916048161635,36.7331,-5.1276,main
2349816495472641,0.7508393158946746,43.3411,-5.1538,main
2349818781368321,0.1315057897990248,179.8546388,-5.18127806,main
2349822019371009,0.16662202733710094,13.41333109,-5.03328208,main
2349822069702657,0.6839896067886937,16.4619,-5.0323,main
2349822287806465,0.9284864211383955,29.3325,-5.0107,main
2349822405246976,0.7237308838593854,36.3915,-5.0365,main
